+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/4/4.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703135800highway_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/GNSS/4.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:49:46 "
-      时间(数据) = " 2020/07/03 05:58:21 ~ 2020/07/03 06:31:43 "
-      时间(处理) = " 2020/07/03 05:58:26 ~ 2020/07/03 06:30:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
453890.000    30.4740429243   114.4873944523     24.665 
453891.000    30.4740583337   114.4871382317     25.282 
453892.000    30.4740730774   114.4868834533     25.834 
453893.000    30.4740871700   114.4866299349     26.358 
453894.000    30.4740998039   114.4863773292     26.808 
453895.000    30.4741112409   114.4861255079     27.229 
453896.000    30.4741225130   114.4858740438     27.592 
453897.000    30.4741335511   114.4856220036     27.916 
453898.000    30.4741438292   114.4853689738     28.188 
453899.000    30.4741524294   114.4851146845     28.417 
453900.000    30.4741601688   114.4848587638     28.587 
453901.000    30.4741669516   114.4846012608     28.740 
453902.000    30.4741718707   114.4843417220     28.897 
453903.000    30.4741745147   114.4840795435     28.992 
453904.000    30.4741755208   114.4838147232     29.082 
453905.000    30.4741756436   114.4835473026     29.096 
453906.000    30.4741754641   114.4832773342     29.040 
453907.000    30.4741753635   114.4830082290     28.920 
453908.000    30.4741758398   114.4827424378     28.705 
453909.000    30.4741761553   114.4824788208     28.439 
453910.000    30.4741746791   114.4822167048     28.201 
453911.000    30.4741725305   114.4819558768     27.948 
453912.000    30.4741707831   114.4816974837     27.667 
453913.000    30.4741693047   114.4814428557     27.436 
453914.000    30.4741668433   114.4811918530     27.128 
453915.000    30.4741635855   114.4809444732     26.755 
453916.000    30.4741606983   114.4806995645     26.324 
