+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 15:03:36 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
455913.000    30.4853104235   114.5635410685     24.012 
455914.000    30.4853104264   114.5635410732     24.010 
455915.000    30.4853104245   114.5635410791     24.012 
455916.000    30.4853104204   114.5635410813     24.015 
455917.000    30.4853104137   114.5635410797     24.016 
455918.000    30.4853096698   114.5635411735     24.017 
455919.000    30.4853037981   114.5635419016     24.016 
455920.000    30.4852870157   114.5635446512     23.999 
455921.000    30.4852610899   114.5635510121     23.975 
455922.000    30.4852311739   114.5635601564     23.947 
455923.000    30.4851990853   114.5635712427     23.916 
455924.000    30.4851636058   114.5635822324     23.886 
455925.000    30.4851258507   114.5635918987     23.865 
455926.000    30.4850881741   114.5635995082     23.845 
455927.000    30.4850516494   114.5636058676     23.821 
455928.000    30.4850198284   114.5636109667     23.799 
455929.000    30.4849893171   114.5636153716     23.786 
455930.000    30.4849583671   114.5636194563     23.772 
455931.000    30.4849272309   114.5636232857     23.757 
455932.000    30.4848959290   114.5636269150     23.741 
455933.000    30.4848644412   114.5636303958     23.730 
455934.000    30.4848327668   114.5636337953     23.728 
455935.000    30.4848010165   114.5636372282     23.724 
455936.000    30.4847692054   114.5636407093     23.726 
455937.000    30.4847372167   114.5636443085     23.718 
455938.000    30.4847039089   114.5636481139     23.691 
455939.000    30.4846674148   114.5636523679     23.672 
455940.000    30.4846298168   114.5636568849     23.652 
455941.000    30.4845925637   114.5636615001     23.633 
455942.000    30.4845553244   114.5636662408     23.620 
455943.000    30.4845168093   114.5636712523     23.609 
455944.000    30.4844760542   114.5636767205     23.589 
455945.000    30.4844333346   114.5636826801     23.582 
455946.000    30.4843906012   114.5636888004     23.584 
455947.000    30.4843479687   114.5636949460     23.578 
455948.000    30.4843036786   114.5637013010     23.568 
455949.000    30.4842569546   114.5637080161     23.563 
455950.000    30.4842078471   114.5637150941     23.553 
455951.000    30.4841574040   114.5637222963     23.525 
455952.000    30.4841075360   114.5637293686     23.510 
455953.000    30.4840586197   114.5637361841     23.509 
455954.000    30.4840106620   114.5637425742     23.502 
455955.000    30.4839626640   114.5637487101     23.490 
455956.000    30.4839144179   114.5637545199     23.480 
455957.000    30.4838689049   114.5637596558     23.484 
455958.000    30.4838259735   114.5637642149     23.479 
455959.000    30.4837838394   114.5637684299     23.474 
455960.000    30.4837420619   114.5637723304     23.469 
455961.000    30.4837026439   114.5637761271     23.479 
455962.000    30.4836678941   114.5637796015     23.484 
455963.000    30.4836351125   114.5637829386     23.481 
455964.000    30.4836014745   114.5637863065     23.482 
455965.000    30.4835653427   114.5637899129     23.480 
455966.000    30.4835295829   114.5637932982     23.497 
455967.000    30.4834956815   114.5637964752     23.513 
455968.000    30.4834635337   114.5637994775     23.515 
455969.000    30.4834330346   114.5638022097     23.517 
455970.000    30.4834034615   114.5638048203     23.511 
455971.000    30.4833714509   114.5638075992     23.517 
455972.000    30.4833350846   114.5638107313     23.533 
455973.000    30.4832972797   114.5638136130     23.539 
455974.000    30.4832639073   114.5638160074     23.541 
455975.000    30.4832345956   114.5638173548     23.533 
455976.000    30.4832071547   114.5638147097     23.527 
455977.000    30.4831791875   114.5638068358     23.519 
455978.000    30.4831509471   114.5637937728     23.506 
455979.000    30.4831272809   114.5637787336     23.474 
455980.000    30.4831075373   114.5637623901     23.436 
455981.000    30.4830900888   114.5637435521     23.401 
455982.000    30.4830716197   114.5637186071     23.356 
455983.000    30.4830484393   114.5636840376     23.318 
455984.000    30.4830254948   114.5636419635     23.294 
455985.000    30.4830073813   114.5635910654     23.256 
455986.000    30.4829967495   114.5635323312     23.209 
455987.000    30.4829921556   114.5634688473     23.144 
455988.000    30.4829906408   114.5634014466     23.072 
455989.000    30.4829911571   114.5633304665     22.993 
455990.000    30.4829924931   114.5632561151     22.901 
455991.000    30.4829944784   114.5631785176     22.819 
455992.000    30.4829969881   114.5630979804     22.725 
455993.000    30.4829999258   114.5630159781     22.623 
455994.000    30.4830030404   114.5629330359     22.525 
455995.000    30.4830056323   114.5628485993     22.423 
455996.000    30.4830073484   114.5627624670     22.314 
455997.000    30.4830080094   114.5626747289     22.208 
455998.000    30.4830076495   114.5625859964     22.098 
455999.000    30.4830073760   114.5624972768     21.984 
456000.000    30.4830074054   114.5624088479     21.871 
456001.000    30.4830077516   114.5623207642     21.768 
456002.000    30.4830085949   114.5622329870     21.662 
456003.000    30.4830099190   114.5621455453     21.564 
456004.000    30.4830114821   114.5620585001     21.456 
456005.000    30.4830130668   114.5619697271     21.353 
456006.000    30.4830143320   114.5618765210     21.251 
456007.000    30.4830152758   114.5617790316     21.138 
456008.000    30.4830158869   114.5616789935     21.045 
456009.000    30.4830162697   114.5615780878     20.949 
456010.000    30.4830163893   114.5614752508     20.869 
456011.000    30.4830162968   114.5613693946     20.797 
456012.000    30.4830163038   114.5612604606     20.728 
456013.000    30.4830174758   114.5611503019     20.685 
456014.000    30.4830196663   114.5610412059     20.677 
456015.000    30.4830203372   114.5609312694     20.620 
456016.000    30.4830204249   114.5608226166     20.588 
456017.000    30.4830209021   114.5607166392     20.535 
456018.000    30.4830217052   114.5606122305     20.508 
456019.000    30.4830225921   114.5605089736     20.488 
456020.000    30.4830235074   114.5604068179     20.468 
456021.000    30.4830242112   114.5603056050     20.440 
