+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS/2.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:48:42 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:33:00 ~ 2020/07/03 05:47:41 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
452165.000    30.4570885289   114.6603091790     12.638 
452166.000    30.4570885244   114.6603091765     12.640 
452167.000    30.4570885279   114.6603091704     12.641 
452168.000    30.4570885315   114.6603091610     12.640 
452169.000    30.4570885336   114.6603091604     12.638 
452170.000    30.4570885262   114.6603091599     12.636 
452171.000    30.4570885210   114.6603091646     12.637 
452172.000    30.4570885237   114.6603091638     12.638 
452173.000    30.4570885266   114.6603091713     12.637 
452174.000    30.4570885256   114.6603091724     12.636 
452175.000    30.4570885216   114.6603091720     12.635 
452176.000    30.4570885319   114.6603091771     12.636 
452177.000    30.4570885634   114.6603092046     12.637 
452178.000    30.4570885673   114.6603092075     12.638 
452179.000    30.4570885787   114.6603092122     12.637 
452180.000    30.4570885793   114.6603092232     12.637 
452181.000    30.4570885758   114.6603092267     12.638 
452182.000    30.4570885752   114.6603092306     12.640 
452183.000    30.4570885850   114.6603092388     12.638 
452184.000    30.4570886023   114.6603092424     12.636 
452185.000    30.4570886007   114.6603092587     12.637 
452186.000    30.4570885968   114.6603092541     12.638 
452187.000    30.4570886002   114.6603092538     12.639 
452188.000    30.4570886053   114.6603092582     12.641 
452189.000    30.4570886012   114.6603092624     12.642 
452190.000    30.4570886023   114.6603092727     12.643 
452191.000    30.4570886031   114.6603092685     12.643 
452192.000    30.4570886061   114.6603092680     12.643 
452193.000    30.4570886063   114.6603092588     12.644 
452194.000    30.4570886087   114.6603092572     12.643 
452195.000    30.4570886152   114.6603092682     12.643 
452196.000    30.4570886159   114.6603092810     12.643 
452197.000    30.4570886207   114.6603092793     12.643 
452198.000    30.4570886228   114.6603092823     12.642 
452199.000    30.4570886264   114.6603092850     12.642 
452200.000    30.4570886348   114.6603092798     12.642 
452201.000    30.4570886341   114.6603092829     12.642 
452202.000    30.4570886304   114.6603092818     12.643 
452203.000    30.4570886257   114.6603092867     12.644 
452204.000    30.4570886241   114.6603092810     12.645 
452205.000    30.4570886250   114.6603092821     12.646 
452206.000    30.4570886350   114.6603092817     12.647 
452207.000    30.4570886423   114.6603092786     12.649 
452208.000    30.4570886347   114.6603092805     12.650 
452209.000    30.4570886308   114.6603092824     12.650 
452210.000    30.4570886422   114.6603092813     12.648 
452211.000    30.4570886429   114.6603092852     12.649 
452212.000    30.4570886360   114.6603092809     12.650 
452213.000    30.4570886302   114.6603092688     12.652 
452214.000    30.4570886283   114.6603092759     12.651 
452215.000    30.4570886331   114.6603092740     12.651 
452216.000    30.4570886389   114.6603092753     12.650 
452217.000    30.4570886442   114.6603092774     12.649 
452218.000    30.4570886443   114.6603092809     12.649 
452219.000    30.4570886402   114.6603092875     12.648 
452220.000    30.4570886367   114.6603092881     12.648 
452221.000    30.4570886356   114.6603092771     12.649 
452222.000    30.4570886426   114.6603092755     12.649 
452223.000    30.4570886514   114.6603092797     12.648 
452224.000    30.4570886482   114.6603092773     12.648 
452225.000    30.4570886487   114.6603092765     12.650 
452226.000    30.4570886478   114.6603092703     12.651 
452227.000    30.4570886516   114.6603092796     12.651 
452228.000    30.4570886419   114.6603092820     12.651 
452229.000    30.4570886427   114.6603092764     12.650 
452230.000    30.4570886474   114.6603092863     12.649 
452231.000    30.4570886469   114.6603092851     12.650 
452232.000    30.4570886516   114.6603092897     12.651 
452233.000    30.4570886572   114.6603092855     12.653 
452234.000    30.4570886513   114.6603092725     12.653 
452235.000    30.4570886570   114.6603092712     12.651 
452236.000    30.4570886553   114.6603092803     12.648 
452237.000    30.4570886534   114.6603092988     12.646 
452238.000    30.4570886585   114.6603093010     12.645 
452239.000    30.4570886684   114.6603092967     12.647 
452240.000    30.4570886705   114.6603093099     12.648 
452241.000    30.4570886648   114.6603093150     12.650 
452242.000    30.4570886671   114.6603093059     12.651 
452243.000    30.4570886616   114.6603093035     12.652 
452244.000    30.4570886606   114.6603093058     12.655 
452245.000    30.4570886584   114.6603092984     12.657 
452246.000    30.4570886505   114.6603093055     12.659 
452247.000    30.4570886498   114.6603093092     12.658 
452248.000    30.4570886523   114.6603093124     12.657 
452249.000    30.4570886582   114.6603093110     12.657 
452250.000    30.4570886621   114.6603093082     12.656 
452251.000    30.4570886619   114.6603093138     12.657 
452252.000    30.4570886646   114.6603093083     12.658 
452253.000    30.4570886648   114.6603093117     12.659 
452254.000    30.4570886668   114.6603093240     12.659 
452255.000    30.4570886637   114.6603093281     12.660 
452256.000    30.4570886619   114.6603093291     12.660 
452257.000    30.4570886621   114.6603093342     12.660 
452258.000    30.4570886659   114.6603093382     12.661 
452259.000    30.4570886619   114.6603093293     12.661 
452260.000    30.4570886653   114.6603093351     12.661 
452261.000    30.4570886623   114.6603093358     12.661 
452262.000    30.4570886656   114.6603093365     12.659 
452263.000    30.4570886741   114.6603093395     12.656 
452264.000    30.4570886762   114.6603093471     12.656 
452265.000    30.4570886707   114.6603093494     12.659 
452266.000    30.4570886711   114.6603093408     12.661 
452267.000    30.4570886662   114.6603093411     12.663 
452268.000    30.4570886594   114.6603093523     12.663 
452269.000    30.4570886587   114.6603093530     12.660 
452270.000    30.4570886598   114.6603093524     12.660 
452271.000    30.4570886617   114.6603093538     12.661 
452272.000    30.4570886595   114.6603093584     12.660 
452273.000    30.4570886678   114.6603093610     12.660 
452274.000    30.4570886720   114.6603093553     12.661 
452275.000    30.4570886714   114.6603093580     12.663 
452276.000    30.4570886635   114.6603093520     12.663 
452277.000    30.4570886573   114.6603093566     12.664 
452278.000    30.4570886599   114.6603093622     12.665 
452279.000    30.4570886630   114.6603093614     12.665 
452280.000    30.4570886597   114.6603093632     12.666 
452281.000    30.4570886604   114.6603093657     12.666 
452282.000    30.4570886575   114.6603093748     12.668 
