
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473396.000    30.4880280361   114.5734423279     32.894     -2.257     13.521   -0.259 
473397.000    30.4880076213   114.5735846037     32.633     -2.259     13.777   -0.275 
473398.000    30.4879871537   114.5737294428     32.370     -2.272     14.031   -0.265 
473399.000    30.4879666626   114.5738767472     32.097     -2.280     14.242   -0.257 
473400.000    30.4879461030   114.5740264904     31.816     -2.283     14.485   -0.310 
473401.000    30.4879253540   114.5741785146     31.536     -2.324     14.663   -0.276 
473402.000    30.4879042448   114.5743309424     31.248     -2.347     14.552   -0.303 
473403.000    30.4878830036   114.5744815163     30.949     -2.351     14.358   -0.309 
473404.000    30.4878618941   114.5746299438     30.684     -2.310     14.119   -0.217 
473405.000    30.4878410963   114.5747760873     30.420     -2.264     13.919   -0.349 
473406.000    30.4878209046   114.5749199572     30.175     -2.200     13.700   -0.267 
473407.000    30.4878014779   114.5750617686     29.916     -2.126     13.535   -0.262 
473408.000    30.4877825309   114.5752014469     29.652     -2.101     13.301   -0.197 
473409.000    30.4877637839   114.5753389535     29.414     -2.066     13.084   -0.250 
473410.000    30.4877451930   114.5754742194     29.155     -2.052     12.886   -0.252 
473411.000    30.4877267936   114.5756072779     28.913     -2.026     12.671   -0.227 
473412.000    30.4877086092   114.5757380609     28.675     -2.015     12.443   -0.234 
473413.000    30.4876904794   114.5758667399     28.437     -2.027     12.297   -0.207 
473414.000    30.4876721643   114.5759946375     28.224     -2.028     12.276   -0.235 
473415.000    30.4876540475   114.5761225330     27.981     -1.996     12.294   -0.240 
473416.000    30.4876364676   114.5762506422     27.751     -1.923     12.295   -0.209 
473417.000    30.4876192463   114.5763789015     27.526     -1.927     12.319   -0.206 
473418.000    30.4876014088   114.5765074486     27.290     -2.040     12.371   -0.201 
473419.000    30.4875828209   114.5766361572     27.050     -2.077     12.294   -0.227 
473420.000    30.4875641717   114.5767631339     26.807     -2.059     12.087   -0.214 
473421.000    30.4875457966   114.5768879957     26.572     -2.006     11.883   -0.223 
473422.000    30.4875279539   114.5770105990     26.349     -1.956     11.654   -0.205 
473423.000    30.4875108567   114.5771309322     26.130     -1.843     11.436   -0.226 
473424.000    30.4874943352   114.5772489239     25.922     -1.833     11.224   -0.204 
473425.000    30.4874780248   114.5773643624     25.709     -1.789     10.966   -0.183 
473426.000    30.4874618225   114.5774772313     25.505     -1.770     10.696   -0.217 
473427.000    30.4874460885   114.5775876195     25.287     -1.731     10.458   -0.185 
473428.000    30.4874309086   114.5776954643     25.090     -1.656     10.242   -0.170 
473429.000    30.4874161957   114.5778006605     24.892     -1.598      9.982   -0.211 
473430.000    30.4874018496   114.5779032440     24.700     -1.579      9.745   -0.179 
473431.000    30.4873874763   114.5780049896     24.522     -1.592      9.806   -0.185 
473432.000    30.4873730483   114.5781071925     24.340     -1.579      9.740   -0.195 
473433.000    30.4873589593   114.5782073993     24.156     -1.537      9.498   -0.181 
473434.000    30.4873454478   114.5783051115     23.970     -1.473      9.248   -0.138 
473435.000    30.4873326205   114.5784000514     23.804     -1.406      8.975   -0.147 
473436.000    30.4873211698   114.5784921167     23.658     -1.070      8.655   -0.176 
473437.000    30.4873125564   114.5785812210     23.492     -1.001      8.403   -0.142 
473438.000    30.4873022810   114.5786666098     23.340     -1.224      8.047   -0.105 
473439.000    30.4872903875   114.5787481411     23.193     -1.364      7.640   -0.049 
473440.000    30.4872788795   114.5788260209     23.067     -1.208      7.272   -0.045 
473441.000    30.4872687072   114.5789012168     22.900     -1.114      7.219   -0.191 
473442.000    30.4872590583   114.5789767913     22.765     -1.047      7.260   -0.119 
473443.000    30.4872499875   114.5790519166     22.660     -0.948      7.059   -0.137 
473444.000    30.4872416781   114.5791236601     22.555     -0.891      6.686   -0.089 
473445.000    30.4872338943   114.5791910803     22.473     -0.839      6.252   -0.071 
473446.000    30.4872265185   114.5792535142     22.400     -0.799      5.748   -0.066 
473447.000    30.4872188367   114.5793100186     22.341     -0.865      5.134   -0.059 
473448.000    30.4872098736   114.5793619388     22.271     -1.058      4.959   -0.089 
473449.000    30.4871989089   114.5794126978     22.189     -1.272      4.857   -0.086 
473450.000    30.4871869026   114.5794598983     22.106     -1.272      4.248   -0.072 
473451.000    30.4871762711   114.5795010004     22.039     -1.089      3.655   -0.056 
473452.000    30.4871676360   114.5795354327     21.986     -0.855      2.952   -0.013 
473453.000    30.4871610318   114.5795642277     21.951     -0.663      2.560   -0.018 
473454.000    30.4871561979   114.5795896451     21.923     -0.492      2.314   -0.046 
473455.000    30.4871524929   114.5796134682     21.894     -0.420      2.205   -0.024 
473456.000    30.4871492005   114.5796351213     21.871     -0.343      1.971   -0.036 
473457.000    30.4871462607   114.5796553383     21.845     -0.314      1.895   -0.041 
473458.000    30.4871434259   114.5796746462     21.823     -0.329      1.785    0.018 
473459.000    30.4871407889   114.5796924175     21.802     -0.310      1.626    0.031 
473460.000    30.4871385348   114.5797076054     21.785     -0.235      1.301    0.001 
