   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 452145.00    30.4570883517   114.6603106810     12.041     -0.001     -0.000    0.001 
 452146.00    30.4570883583   114.6603106783     12.041      0.002      0.001    0.001 
 452147.00    30.4570883614   114.6603106725     12.040     -0.001      0.002   -0.000 
 452148.00    30.4570897576   114.6603118934     12.039      0.185      0.247   -0.006 
 452149.00    30.4570919825   114.6603136321     12.033      0.152      0.235   -0.009 
 452150.00    30.4570933939   114.6603146723     12.026      0.030      0.056   -0.006 
 452151.00    30.4570934222   114.6603146964     12.022     -0.001     -0.005   -0.003 
 452152.00    30.4570934226   114.6603147005     12.020      0.000      0.002   -0.001 
 452153.00    30.4570934263   114.6603146861     12.018      0.001      0.002   -0.002 
 452154.00    30.4570934277   114.6603146913     12.016      0.000     -0.001   -0.001 
 452155.00    30.4570934260   114.6603146893     12.016      0.003      0.001    0.001 
 452156.00    30.4570934300   114.6603146909     12.015      0.001      0.002   -0.001 
 452157.00    30.4570934299   114.6603146992     12.015     -0.001     -0.001   -0.001 
 452158.00    30.4570934363   114.6603147018     12.015     -0.000     -0.002    0.002 
 452159.00    30.4570934358   114.6603146983     12.014     -0.001      0.003   -0.000 
 452160.00    30.4570934253   114.6603146840     12.014     -0.000      0.000   -0.000 
 452161.00    30.4570934264   114.6603146921     12.012     -0.000     -0.001    0.002 
 452162.00    30.4570934313   114.6603146971     12.012      0.000      0.002    0.003 
 452163.00    30.4570934298   114.6603146820     12.013     -0.002     -0.000   -0.000 
 452164.00    30.4570934389   114.6603146814     12.014      0.000     -0.000    0.001 
 452165.00    30.4570934422   114.6603146992     12.014      0.002     -0.002    0.002 
 452166.00    30.4570934386   114.6603146965     12.016     -0.001      0.001    0.004 
 452167.00    30.4570934419   114.6603146903     12.017     -0.001      0.001   -0.002 
 452168.00    30.4570934453   114.6603146812     12.016     -0.001     -0.001   -0.005 
 452169.00    30.4570934475   114.6603146807     12.014     -0.001     -0.002   -0.001 
 452170.00    30.4570934411   114.6603146796     12.013      0.001      0.001    0.002 
 452171.00    30.4570934360   114.6603146831     12.013     -0.000      0.004    0.001 
 452172.00    30.4570934394   114.6603146813     12.014     -0.001      0.000   -0.001 
 452173.00    30.4570934439   114.6603146879     12.013      0.000     -0.001   -0.003 
 452174.00    30.4570934433   114.6603146891     12.012     -0.001     -0.002    0.001 
 452175.00    30.4570934400   114.6603146879     12.011     -0.002     -0.002    0.005 
 452176.00    30.4570934520   114.6603146909     12.012      0.004      0.006    0.002 
 452177.00    30.4570934841   114.6603147173     12.013     -0.002     -0.001    0.001 
 452178.00    30.4570934881   114.6603147205     12.014      0.000      0.001   -0.001 
 452179.00    30.4570935005   114.6603147242     12.014      0.003      0.002    0.000 
 452180.00    30.4570935013   114.6603147350     12.013      0.001     -0.001    0.001 
 452181.00    30.4570934984   114.6603147370     12.014     -0.001     -0.001    0.003 
 452182.00    30.4570934975   114.6603147410     12.016      0.000     -0.001   -0.000 
 452183.00    30.4570935081   114.6603147484     12.014      0.001      0.002   -0.004 
 452184.00    30.4570935256   114.6603147510     12.012      0.002      0.001   -0.002 
 452185.00    30.4570935246   114.6603147657     12.012      0.002     -0.002    0.001 
 452186.00    30.4570935206   114.6603147618     12.014     -0.000     -0.001    0.002 
 452187.00    30.4570935257   114.6603147599     12.015     -0.000     -0.001    0.003 
 452188.00    30.4570935314   114.6603147636     12.017     -0.001     -0.000    0.003 
 452189.00    30.4570935277   114.6603147680     12.018     -0.002     -0.000    0.001 
 452190.00    30.4570935295   114.6603147780     12.019     -0.000      0.000   -0.001 
 452191.00    30.4570935318   114.6603147719     12.019     -0.001      0.000   -0.000 
 452192.00    30.4570935352   114.6603147708     12.019      0.000      0.002   -0.001 
 452193.00    30.4570935357   114.6603147610     12.020     -0.001     -0.000    0.001 
 452194.00    30.4570935382   114.6603147584     12.019      0.000      0.000    0.002 
 452195.00    30.4570935454   114.6603147692     12.019      0.002     -0.000    0.000 
 452196.00    30.4570935454   114.6603147820     12.019     -0.001      0.001    0.002 
 452197.00    30.4570935491   114.6603147809     12.019     -0.001      0.000   -0.001 
 452198.00    30.4570935515   114.6603147837     12.018      0.002     -0.001   -0.000 
 452199.00    30.4570935552   114.6603147870     12.018     -0.000      0.002    0.002 
 452200.00    30.4570935638   114.6603147803     12.018     -0.000      0.000    0.000 
 452201.00    30.4570935638   114.6603147824     12.018     -0.001     -0.001    0.001 
 452202.00    30.4570935602   114.6603147812     12.019      0.001     -0.001    0.002 
 452203.00    30.4570935555   114.6603147865     12.020     -0.001      0.001    0.000 
 452204.00    30.4570935543   114.6603147801     12.021      0.000     -0.000   -0.000 
 452205.00    30.4570935549   114.6603147810     12.022      0.003      0.001    0.004 
 452206.00    30.4570935655   114.6603147799     12.023      0.001      0.002    0.001 
 452207.00    30.4570935730   114.6603147763     12.025     -0.000     -0.000    0.002 
 452208.00    30.4570935655   114.6603147778     12.026     -0.000     -0.003    0.002 
 452209.00    30.4570935620   114.6603147794     12.026      0.000      0.001   -0.002 
 452210.00    30.4570935738   114.6603147777     12.024      0.000      0.001   -0.000 
 452211.00    30.4570935751   114.6603147806     12.025     -0.002      0.000   -0.002 
 452212.00    30.4570935687   114.6603147758     12.026     -0.001     -0.001    0.001 
 452213.00    30.4570935633   114.6603147637     12.028      0.001      0.001   -0.000 
 452214.00    30.4570935627   114.6603147707     12.027      0.002      0.000   -0.001 
 452215.00    30.4570935688   114.6603147692     12.027     -0.001      0.000    0.000 
 452216.00    30.4570935752   114.6603147709     12.026      0.000     -0.000    0.000 
 452217.00    30.4570935796   114.6603147726     12.025     -0.000      0.000    0.000 
 452218.00    30.4570935803   114.6603147745     12.025     -0.001     -0.001   -0.000 
 452219.00    30.4570935758   114.6603147810     12.024     -0.001     -0.001   -0.001 
 452220.00    30.4570935727   114.6603147816     12.024     -0.001     -0.000   -0.000 
 452221.00    30.4570935721   114.6603147705     12.025     -0.002      0.001    0.000 
 452222.00    30.4570935793   114.6603147690     12.025      0.001      0.002   -0.003 
 452223.00    30.4570935880   114.6603147733     12.024     -0.000     -0.000   -0.001 
 452224.00    30.4570935853   114.6603147704     12.024      0.001      0.001    0.000 
 452225.00    30.4570935864   114.6603147689     12.026      0.000      0.002    0.002 
 452226.00    30.4570935851   114.6603147628     12.027     -0.000      0.001    0.001 
 452227.00    30.4570935891   114.6603147722     12.027      0.002     -0.000    0.000 
 452228.00    30.4570935795   114.6603147741     12.027      0.001     -0.000    0.001 
 452229.00    30.4570935806   114.6603147681     12.026     -0.000      0.001   -0.001 
 452230.00    30.4570935851   114.6603147773     12.025     -0.001     -0.001    0.001 
 452231.00    30.4570935846   114.6603147759     12.026     -0.000     -0.001    0.000 
 452232.00    30.4570935905   114.6603147801     12.027     -0.000      0.002    0.001 
 452233.00    30.4570935967   114.6603147743     12.029     -0.000     -0.000   -0.000 
 452234.00    30.4570935914   114.6603147602     12.029     -0.002     -0.000   -0.001 
 452235.00    30.4570935970   114.6603147593     12.027      0.003      0.001   -0.003 
 452236.00    30.4570935948   114.6603147682     12.024      0.002     -0.001   -0.002 
 452237.00    30.4570935929   114.6603147863     12.022      0.001      0.001   -0.001 
 452238.00    30.4570935977   114.6603147890     12.021     -0.002      0.000    0.001 
 452239.00    30.4570936090   114.6603147847     12.022     -0.001     -0.000    0.002 
 452240.00    30.4570936119   114.6603147979     12.024      0.001     -0.001   -0.000 
 452241.00    30.4570936068   114.6603148022     12.026     -0.001      0.001    0.002 
 452242.00    30.4570936104   114.6603147920     12.027     -0.000     -0.001   -0.001 
 452243.00    30.4570936061   114.6603147881     12.028      0.000     -0.000    0.001 
 452244.00    30.4570936053   114.6603147895     12.031      0.001     -0.000    0.003 
 452245.00    30.4570936035   114.6603147805     12.033     -0.000     -0.001    0.004 
 452246.00    30.4570935960   114.6603147865     12.034     -0.001     -0.001    0.001 
 452247.00    30.4570935958   114.6603147900     12.034     -0.000     -0.000   -0.000 
 452248.00    30.4570935987   114.6603147920     12.033     -0.001      0.000    0.000 
 452249.00    30.4570936057   114.6603147907     12.033     -0.001      0.001   -0.002 
 452250.00    30.4570936097   114.6603147870     12.032      0.001     -0.001    0.001 
 452251.00    30.4570936100   114.6603147912     12.033     -0.001     -0.000   -0.001 
 452252.00    30.4570936128   114.6603147862     12.034      0.001      0.001    0.001 
 452253.00    30.4570936129   114.6603147893     12.035      0.002      0.000    0.001 
 452254.00    30.4570936144   114.6603148003     12.035      0.001     -0.000    0.001 
 452255.00    30.4570936117   114.6603148048     12.035     -0.001     -0.001    0.002 
 452256.00    30.4570936104   114.6603148057     12.036      0.000     -0.000   -0.001 
 452257.00    30.4570936112   114.6603148107     12.035      0.001      0.001    0.001 
 452258.00    30.4570936156   114.6603148155     12.037     -0.001     -0.001   -0.001 
 452259.00    30.4570936118   114.6603148061     12.037     -0.001     -0.000   -0.000 
 452260.00    30.4570936152   114.6603148118     12.037      0.002      0.002   -0.003 
 452261.00    30.4570936130   114.6603148122     12.037      0.002     -0.000   -0.000 
 452262.00    30.4570936162   114.6603148117     12.034     -0.000      0.002   -0.004 
 452263.00    30.4570936247   114.6603148151     12.032     -0.000     -0.000   -0.000 
 452264.00    30.4570936278   114.6603148215     12.032      0.000      0.000    0.002 
 452265.00    30.4570936217   114.6603148242     12.035     -0.002     -0.002    0.005 
 452266.00    30.4570936223   114.6603148157     12.037     -0.002      0.000    0.004 
 452267.00    30.4570936174   114.6603148159     12.039      0.001     -0.002   -0.000 
 452268.00    30.4570936114   114.6603148258     12.039      0.000     -0.001   -0.003 
 452269.00    30.4570936106   114.6603148259     12.036      0.001      0.002   -0.005 
 452270.00    30.4570936119   114.6603148262     12.036      0.000      0.001    0.002 
 452271.00    30.4570936145   114.6603148280     12.037      0.001      0.000   -0.002 
 452272.00    30.4570936117   114.6603148321     12.036      0.002     -0.001   -0.001 
 452273.00    30.4570936210   114.6603148339     12.036      0.001      0.002    0.000 
 452274.00    30.4570936262   114.6603148279     12.037      0.001      0.000    0.002 
 452275.00    30.4570936252   114.6603148297     12.039     -0.002     -0.001    0.001 
 452276.00    30.4570936174   114.6603148227     12.039     -0.001     -0.001    0.001 
 452277.00    30.4570936114   114.6603148263     12.040     -0.001     -0.000    0.001 
 452278.00    30.4570936147   114.6603148313     12.041      0.001      0.001   -0.000 
 452279.00    30.4570936181   114.6603148296     12.041     -0.001     -0.000    0.003 
 452280.00    30.4570936156   114.6603148313     12.042      0.001      0.000   -0.002 
 452281.00    30.4570936163   114.6603148344     12.042      0.001     -0.000    0.001 
 452282.00    30.4570936137   114.6603148444     12.044      0.003      0.001   -0.000 
 452283.00    30.4570936158   114.6603148457     12.044     -0.000     -0.000    0.000 
 452284.00    30.4570936169   114.6603148367     12.044      0.000      0.001    0.002 
 452285.00    30.4570936232   114.6603148406     12.044     -0.000      0.001   -0.001 
 452286.00    30.4570936257   114.6603148457     12.043     -0.002     -0.001   -0.001 
 452287.00    30.4570936241   114.6603148476     12.041      0.001     -0.000   -0.003 
 452288.00    30.4570936213   114.6603148410     12.041     -0.002     -0.000    0.002 
 452289.00    30.4570936166   114.6603148258     12.042     -0.000      0.001   -0.002 
 452290.00    30.4570936160   114.6603148336     12.042      0.001     -0.002    0.001 
 452291.00    30.4570936197   114.6603148397     12.043     -0.003      0.001    0.000 
 452292.00    30.4570936244   114.6603148302     12.043      0.002      0.001   -0.001 
 452293.00    30.4570936268   114.6603148332     12.043      0.002     -0.000    0.000 
 452294.00    30.4570936199   114.6603148350     12.044      0.000     -0.001    0.004 
 452295.00    30.4570936214   114.6603148311     12.047     -0.003      0.001    0.006 
 452296.00    30.4570936237   114.6603148526     12.053      0.003     -0.001    0.006 
 452297.00    30.4570936232   114.6603149096     12.060     -0.003     -0.002    0.005 
 452298.00    30.4570936277   114.6603149283     12.062     -0.005      0.000   -0.004 
 452299.00    30.4570936290   114.6603148618     12.055     -0.009      0.000   -0.009 
 452300.00    30.4570936365   114.6603148119     12.046     -0.001     -0.001   -0.010 
 452301.00    30.4570936420   114.6603148124     12.042     -0.000      0.001   -0.001 
