+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
452103.000    30.4571436643   114.6601900908     12.106   -2295945.421    5000893.134    3214166.114 
452104.000    30.4570802702   114.6601354572     12.210   -2295942.177    5000898.642    3214160.109 
452105.000    30.4570242956   114.6600838194     12.304   -2295939.016    5000903.644    3214154.807 
452106.000    30.4569761401   114.6600371667     12.382   -2295936.101    5000908.033    3214150.245 
452107.000    30.4569371755   114.6600000111     12.480   -2295933.807    5000911.589    3214146.571 
452108.000    30.4569087143   114.6599780812     12.519   -2295932.574    5000913.952    3214143.871 
452109.000    30.4568872051   114.6599714322     12.598   -2295932.526    5000915.379    3214141.856 
452110.000    30.4568680609   114.6599768091     12.701   -2295933.482    5000916.222    3214140.079 
452111.000    30.4568530525   114.6599942393     12.827   -2295935.400    5000916.388    3214138.708 
452112.000    30.4568484320   114.6600230600     12.916   -2295938.056    5000915.540    3214138.312 
452113.000    30.4568619458   114.6600589946     12.939   -2295940.884    5000913.427    3214139.615 
452114.000    30.4568919073   114.6600971781     12.912   -2295943.504    5000910.346    3214142.464 
452115.000    30.4569320215   114.6601363855     12.827   -2295945.955    5000906.659    3214146.255 
452116.000    30.4569709504   114.6601753826     12.730   -2295948.412    5000903.033    3214149.926 
452117.000    30.4570052483   114.6602152293     12.710   -2295951.078    5000899.668    3214153.193 
452118.000    30.4570324271   114.6602503644     12.725   -2295953.513    5000896.885    3214155.798 
452119.000    30.4570508958   114.6602739555     12.693   -2295955.128    5000894.971    3214157.547 
452120.000    30.4570667104   114.6602901957     12.704   -2295956.178    5000893.521    3214159.063 
452121.000    30.4570785635   114.6603008226     12.670   -2295956.816    5000892.464    3214160.179 
